35,Acoustic Bass Drum,OPNA,255,255,#0,0,0
36,Bass Drum 1,SSG,0,12,28,0,20
37,Side Stick,OPNA,255,255,#5,0,0
38,Acoustic Snare,OPNA,255,255,#1,0,0
40,Electric Snare,SSG,0,12,35,0,20
41,Low Floor Tom,SSG,0,11,36,0,20
42,Closed Hi Hat,SSG,0,6,60,0,20
43,High Floor Tom,SSG,0,11,39,0,20
44,Pedal Hi-Hat,SSG,0,9,60,0,20
45,Low Tom,SSG,0,11,41,0,20
46,Open Hi-Hat,SSG,0,7,60,0,20
47,Low-Mid Tom,SSG,0,11,44,0,20
48,Hi-Mid Tom,SSG,0,11,46,0,20
49,Crash Cymbal 1,SSG,0,8,60,0,100
50,High Tom,SSG,0,11,48,0,20
51,Ride Cymbal 1,OPNA,255,255,#2,0,0
57,Crash Cymbal 2,OPNA,255,255,#2,0,0
59,Ride Cymbal 2,OPNA,255,255,#2,0,0
