35,Acoustic Bass Drum,SSG,0,11,28,0,20
36,Bass Drum 1,SSG,0,12,28,0,20
38,Acoustic Snare,SSG,0,12,48,0,20
40,Electric Snare,SSG,0,12,35,0,20
41,Low Floor Tom,SSG,0,11,36,0,20
42,Closed Hi Hat,SSG,0,6,60,0,20
43,High Floor Tom,SSG,0,11,39,0,20
44,Pedal Hi-Hat,SSG,0,9,60,0,20
45,Low Tom,SSG,0,11,41,0,20
46,Open Hi-Hat,SSG,0,7,60,0,20
47,Low-Mid Tom,SSG,0,11,44,0,20
48,Hi-Mid Tom,SSG,0,11,46,0,20
49,Crash Cymbal 1,SSG,0,8,60,0,100
50,High Tom,SSG,0,11,48,0,20
51,Ride Cymbal 1,SSG,0,10,105,0,100
52,Chinese Cymbal,SSG,0,8,60,0,200
53,Ride Bell,SSG,0,10,105,0,50
55,Splash Cymbal,SSG,0,8,60,0,200
57,Crash Cymbal 2,SSG,0,8,60,0,200
59,Ride Cymbal 2,SSG,0,10,105,0,50
